Cust,pPr30,pPr10,pPr05,pIn0.5,pIn1,pIn3,pCp12,pCp20,pCp32,pClD,pClF,pClE,pCnSl,pCnSp,pCnLk,pBrA,pBrB,pBrC,IPr,Iin,ICp,ICl,Icn,IBr
23,1,5,7,1,5,7,1,7,3,1,5,7,1,3,7,7,1,5,31,10,11,9,28,10
24,1,5,7,1,7,7,1,7,7,1,7,7,1,4,7,4,7,1,54,10,5,10,10,11
25,1,3,7,1,7,7,2,7,1,1,1,7,1,4,7,3,7,1,48,10,13,4,13,13
26,1,3,7,1,3,7,7,5,1,1,6,7,1,6,7,3,7,1,8,4,4,43,26,13
27,1,6,7,1,4,7,1,7,7,1,6,7,1,2,7,7,1,5,31,4,8,20,23,15
28,1,4,7,1,4,7,7,6,1,1,5,7,1,5,7,4,1,7,53,7,6,6,17,13
29,1,6,7,1,4,7,1,7,1,1,7,7,1,5,7,5,7,1,46,8,4,4,26,11
30,1,5,7,1,2,7,1,7,7,1,5,7,1,2,7,3,1,7,55,5,7,14,6,13
31,1,7,7,1,2,7,3,7,1,1,6,7,1,3,7,7,3,1,11,12,32,11,23,12
32,1,7,7,1,5,7,3,1,7,1,5,7,1,2,7,7,1,3,8,6,10,6,61,10
33,1,7,7,1,6,7,1,7,5,1,6,7,1,5,7,1,3,7,42,6,2,20,14,16
34,1,5,7,1,3,7,1,5,7,1,5,7,1,1,7,5,1,7,50,10,6,10,13,11
35,1,4,7,1,4,7,1,7,6,1,5,7,1,2,7,1,5,7,52,6,10,12,4,16
36,1,6,7,1,4,7,1,7,6,1,5,7,1,7,7,7,1,4,9,10,17,15,39,10
37,1,7,7,1,2,7,7,7,1,1,6,7,1,7,7,3,1,7,44,11,4,19,11,12
38,1,6,7,1,1,7,1,6,7,1,6,7,1,1,7,1,7,4,31,2,8,37,11,10
39,1,6,7,1,1,7,1,7,4,1,4,7,1,4,7,1,7,4,37,8,12,13,16,14
40,1,5,7,1,2,7,7,4,1,1,4,7,1,6,7,7,5,1,7,26,5,5,42,16
41,1,7,7,1,5,7,1,7,7,1,4,7,1,2,7,7,3,1,13,42,17,6,5,17
42,1,2,7,1,3,7,7,7,1,1,7,7,1,4,7,7,1,3,4,2,45,19,18,11
43,1,6,7,1,7,7,1,4,7,1,7,7,1,3,7,3,7,1,43,11,9,9,13,15
44,1,4,7,1,5,7,1,6,7,1,3,7,1,2,7,1,4,7,55,4,14,4,7,16
45,1,3,7,1,1,7,5,7,1,1,5,7,1,5,7,7,5,1,5,6,22,6,46,14
46,1,4,7,1,1,7,1,7,1,1,4,7,1,4,7,5,7,1,20,1,1,58,6,14
47,1,5,7,1,7,7,1,4,7,1,5,7,1,4,7,7,1,3,49,4,22,8,5,12
48,1,6,7,1,4,7,6,7,1,1,6,7,1,5,7,7,1,4,11,9,20,33,16,12
49,1,4,7,1,3,7,1,7,5,1,5,7,1,2,7,1,7,3,39,23,7,6,16,10
50,1,6,7,1,1,7,5,7,1,1,4,7,1,4,7,1,7,4,18,15,31,11,16,9
51,1,7,7,1,5,7,7,1,6,1,6,7,1,3,7,1,5,7,46,14,4,16,11,9
52,1,4,7,1,6,7,1,7,7,1,6,7,1,7,7,3,1,7,60,7,2,7,13,11
53,1,6,7,1,2,7,1,4,7,1,5,7,1,4,7,7,1,4,14,12,40,12,10,14
54,1,7,7,1,2,7,1,7,5,1,6,7,1,4,7,1,3,7,44,5,10,26,2,13
55,1,5,7,1,4,7,7,1,4,1,2,7,1,2,7,4,7,1,12,15,5,44,10,15
56,1,7,7,1,7,7,1,7,6,1,4,7,1,2,7,3,1,7,7,14,10,51,3,16
57,1,5,7,1,6,7,7,6,1,1,6,7,1,4,7,1,7,4,20,17,28,8,14,13
58,1,6,7,1,6,7,1,3,7,1,4,7,1,1,7,1,7,3,28,28,9,12,6,16
59,1,4,7,1,4,7,1,7,5,1,4,7,1,4,7,7,3,1,11,5,9,6,56,12
60,1,6,7,1,7,7,5,7,1,1,4,7,1,6,7,1,7,5,26,2,4,14,41,13
61,1,6,7,1,2,7,1,4,7,1,3,7,1,3,7,4,7,1,41,12,9,8,19,11
62,1,6,7,1,6,7,1,7,7,1,4,7,1,1,7,1,7,3,28,7,35,10,5,15
63,1,6,7,1,4,7,1,4,7,1,4,7,1,2,7,7,4,1,6,53,16,4,5,15
64,1,6,7,1,4,7,7,3,1,1,7,7,1,6,7,1,7,5,28,9,35,3,12,14
65,1,5,7,1,1,7,1,7,7,1,4,7,1,6,7,4,1,7,15,5,2,53,15,10
66,1,3,7,1,4,7,1,7,7,1,4,7,1,3,7,1,4,7,62,5,2,12,9,10
67,1,7,7,1,5,7,1,7,7,1,4,7,1,1,7,1,3,7,45,8,0,26,8,13
68,1,4,7,1,3,7,1,7,7,1,5,7,1,3,7,7,3,1,3,5,39,10,26,17
69,1,2,7,1,4,7,7,6,1,1,6,7,1,4,7,3,7,1,10,14,12,25,27,12
70,1,4,7,1,7,7,1,5,7,1,5,7,1,3,7,7,5,1,20,2,8,10,46,15
71,1,6,7,1,6,7,1,6,7,1,6,7,1,3,7,1,4,7,45,3,19,10,9,13
72,1,3,7,1,5,7,1,7,1,1,4,7,1,4,7,5,1,7,19,5,1,59,4,11
73,1,4,7,1,4,7,7,7,1,1,7,7,1,3,7,3,1,7,54,4,3,10,16,13
74,1,7,7,1,1,7,3,7,1,1,5,7,1,6,7,7,1,5,14,6,14,23,32,12
75,1,6,7,1,7,7,1,6,7,1,1,7,1,5,7,7,1,5,24,21,1,14,25,15
76,1,6,7,1,5,7,3,7,1,1,6,7,1,5,7,7,4,1,16,2,57,9,6,11
77,1,1,7,1,4,7,1,4,7,1,7,7,1,3,7,7,5,1,1,21,52,1,8,16
78,1,7,7,1,4,7,7,1,6,1,7,7,1,4,7,7,5,1,5,54,3,8,16,14
79,1,5,7,1,1,7,1,2,7,1,3,7,1,3,7,4,7,1,17,10,14,30,20,10
80,1,4,7,1,7,7,6,7,1,1,6,7,1,6,7,7,1,5,6,0,45,11,26,11
81,1,5,7,1,5,7,1,6,7,1,3,7,1,2,7,7,1,5,20,20,36,7,6,11
82,1,4,7,1,5,7,1,7,5,1,2,7,1,4,7,7,1,4,19,27,10,7,26,11
83,1,2,7,1,6,7,2,7,1,1,3,7,1,1,7,4,7,1,17,17,16,13,25,12
84,1,7,7,1,1,7,7,3,1,1,1,7,1,4,7,1,7,3,38,8,29,2,5,16
85,1,6,7,1,4,7,1,6,7,1,6,7,1,6,7,4,7,1,46,5,24,10,5,9
86,1,6,7,1,6,7,7,1,4,1,3,7,1,5,7,7,1,3,14,38,8,14,10,15
87,1,7,7,1,5,7,1,4,7,1,5,7,1,5,7,5,7,1,57,12,6,10,4,11
88,1,5,7,1,6,7,1,7,4,1,6,7,1,3,7,3,1,7,45,6,7,8,21,12
89,1,7,7,1,2,7,4,7,1,1,3,7,1,1,7,1,7,3,22,2,34,18,11,13
90,1,6,7,1,6,7,1,4,7,1,3,7,1,6,7,5,1,7,43,9,12,10,10,16
91,1,7,7,1,4,7,1,7,5,1,6,7,1,1,7,5,7,1,38,6,10,25,11,10
92,1,6,7,1,3,7,7,4,1,1,6,7,1,7,7,3,1,7,50,8,28,3,0,12
93,1,6,7,1,5,7,2,1,7,1,6,7,1,3,7,1,7,5,33,30,10,10,8,9
94,1,6,7,1,2,7,1,7,5,1,4,7,1,4,7,3,7,1,40,7,13,18,8,14
95,1,7,7,1,2,7,5,7,1,1,7,7,1,4,7,7,3,1,6,15,56,3,6,15
96,1,4,7,1,7,7,7,4,1,1,7,7,1,7,7,7,4,1,12,19,58,0,0,11
97,1,7,7,1,1,7,7,5,1,1,6,7,1,1,7,4,7,1,18,18,9,25,14,15
98,1,6,7,1,5,7,2,7,1,1,3,7,1,6,7,3,7,1,45,8,8,7,19,14
99,1,4,7,1,7,7,5,7,1,1,2,7,1,1,7,7,5,1,9,10,54,3,8,16
100,1,3,7,1,4,7,7,1,1,1,4,7,1,4,7,1,7,5,29,22,7,19,13,10
101,1,6,7,1,5,7,1,7,1,1,6,7,1,5,7,1,5,7,59,3,3,13,8,15
102,1,2,7,1,4,7,1,7,6,1,4,7,1,6,7,1,7,3,12,7,13,9,45,14
103,1,6,7,1,3,7,1,4,7,1,6,7,1,4,7,1,7,4,19,16,6,32,17,10
104,1,4,7,1,7,7,4,7,1,1,4,7,1,4,7,7,1,3,10,14,20,15,30,12
105,1,3,7,1,2,7,5,7,1,1,5,7,1,3,7,7,4,1,5,5,4,19,52,16
106,1,5,7,1,4,7,7,7,1,1,4,7,1,4,7,3,1,7,46,8,12,8,16,10
107,1,6,7,1,1,7,7,2,1,1,6,7,1,4,7,1,3,7,54,7,10,10,5,15
108,1,4,7,1,1,7,1,4,7,1,7,7,1,4,7,1,4,7,55,3,5,3,20,15
109,1,6,7,1,6,7,1,7,5,1,6,7,1,6,7,1,4,7,43,15,6,17,8,10
110,1,3,7,1,4,7,7,7,1,1,7,7,1,7,7,1,7,3,9,5,39,26,10,11
111,1,6,7,1,3,7,1,1,7,1,5,7,1,2,7,1,7,4,33,16,5,20,13,14
112,1,3,7,1,6,7,1,1,7,1,4,7,1,1,7,1,5,7,57,11,3,11,3,15
113,1,4,7,1,7,7,1,7,6,1,5,7,1,5,7,1,7,3,26,10,9,25,16,14
114,1,6,7,1,6,7,7,6,1,1,3,7,1,2,7,7,1,4,30,11,36,9,5,9
115,1,2,7,1,2,7,7,3,1,1,6,7,1,5,7,7,1,4,14,22,34,11,6,12
116,1,6,7,1,6,7,5,7,1,1,6,7,1,7,7,7,1,4,14,12,8,44,12,10
117,1,7,7,1,4,7,7,6,1,1,6,7,1,5,7,4,7,1,38,12,16,17,6,11
118,1,5,7,1,6,7,1,7,1,1,4,7,1,3,7,4,7,1,34,16,4,13,20,14
119,1,4,7,1,2,7,2,7,1,1,4,7,1,3,7,1,5,7,57,5,4,19,6,10
120,1,7,7,1,7,7,1,7,4,1,4,7,1,1,7,7,4,1,6,3,54,20,3,15
121,1,6,7,1,7,7,1,7,5,1,7,7,1,4,7,7,1,3,19,3,9,3,51,14
122,1,6,7,1,4,7,1,6,7,1,6,7,1,5,7,4,1,7,45,5,6,8,20,15
123,1,7,7,1,2,7,1,7,4,1,4,7,1,4,7,4,1,7,45,23,5,11,5,9
124,1,1,7,1,3,7,7,5,1,1,7,7,1,7,7,7,3,1,5,10,7,37,27,14
125,1,7,7,1,2,7,1,3,7,1,7,7,1,2,7,7,1,5,5,15,32,36,3,10
126,1,7,7,1,7,7,1,7,6,1,6,7,1,1,7,5,7,1,13,11,13,41,7,15
127,1,4,7,1,6,7,4,7,1,1,3,7,1,6,7,1,5,7,50,16,11,5,3,15
128,1,4,7,1,5,7,1,4,7,1,5,7,1,5,7,1,5,7,50,3,2,21,9,14
129,1,5,7,1,3,7,7,7,1,1,7,7,1,3,7,1,7,5,16,11,36,21,6,11
130,1,7,7,1,2,7,7,1,2,1,7,7,1,7,7,5,1,7,48,13,12,13,5,9
131,1,4,7,1,2,7,1,7,1,1,4,7,1,3,7,1,4,7,54,3,1,19,9,14
132,1,6,7,1,4,7,1,7,7,1,1,7,1,5,7,1,7,3,29,6,6,1,43,15
133,1,1,7,1,4,7,1,4,7,1,7,7,1,1,7,7,1,3,10,52,11,5,5,16
134,1,7,7,1,5,7,1,2,7,1,4,7,1,4,7,4,1,7,44,10,5,3,26,13
135,1,4,7,1,7,7,1,7,7,1,7,7,1,5,7,7,5,1,11,0,6,6,62,15
136,1,5,7,1,3,7,1,6,7,1,7,7,1,6,7,1,7,4,26,27,9,20,7,10
137,1,6,7,1,2,7,5,7,1,1,7,7,1,4,7,7,1,4,9,6,4,14,52,16
138,1,6,7,1,6,7,1,7,3,1,7,7,1,3,7,7,1,5,17,13,7,2,47,14
139,1,5,7,1,4,7,1,3,7,1,4,7,1,4,7,7,5,1,3,21,6,1,57,13
140,1,7,7,1,5,7,1,7,4,1,6,7,1,5,7,4,7,1,42,12,3,13,15,15
141,1,5,7,1,7,7,2,7,1,1,3,7,1,6,7,3,7,1,16,4,4,52,13,11
142,1,6,7,1,3,7,7,6,1,1,7,7,1,4,7,1,7,4,27,5,28,20,6,13
143,1,5,7,1,1,7,1,7,7,1,4,7,1,5,7,7,1,5,17,6,13,11,42,10
144,1,5,7,1,4,7,1,4,7,1,4,7,1,2,7,4,7,1,49,4,4,4,22,16
145,1,4,7,1,4,7,3,1,7,1,6,7,1,4,7,7,1,5,17,10,4,24,31,15
146,1,5,7,1,4,7,1,7,7,1,7,7,1,3,7,1,7,5,12,8,0,37,29,14
147,1,4,7,1,7,7,1,2,7,1,4,7,1,3,7,1,4,7,58,3,7,9,12,11
148,1,4,7,1,5,7,7,1,7,1,4,7,1,4,7,1,3,7,57,2,2,19,6,14
149,1,5,7,1,2,7,1,6,7,1,4,7,1,2,7,7,4,1,6,4,61,10,6,12
150,1,3,7,1,1,7,7,3,1,1,1,7,1,7,7,7,3,1,8,8,55,3,8,16
151,1,7,7,1,5,7,1,7,6,1,4,7,1,6,7,1,3,7,60,3,7,2,17,10
152,1,4,7,1,7,7,1,7,1,1,5,7,1,2,7,4,7,1,41,18,9,18,4,10
153,1,4,7,1,7,7,7,1,7,1,6,7,1,7,7,1,5,7,54,5,5,20,5,11
154,1,4,7,1,4,7,1,7,5,1,7,7,1,3,7,3,7,1,52,2,12,9,8,16
155,1,6,7,1,6,7,7,6,1,1,7,7,1,6,7,1,7,4,13,27,16,18,13,12
156,1,6,7,1,5,7,7,3,1,1,6,7,1,3,7,7,1,4,6,4,7,18,49,16
157,1,2,7,1,1,7,4,1,7,1,5,7,1,5,7,7,1,4,3,8,4,27,43,15
158,1,2,7,1,5,7,1,4,7,1,3,7,1,2,7,5,7,1,19,15,5,33,16,12
159,1,5,7,1,1,7,1,6,7,1,4,7,1,5,7,1,7,4,9,8,1,56,11,14
160,1,7,7,1,1,7,1,7,6,1,6,7,1,7,7,5,1,7,42,2,13,24,5,13
161,1,7,7,1,3,7,5,7,1,1,5,7,1,4,7,3,7,1,7,8,3,29,41,13
162,1,6,7,1,6,7,6,7,1,1,5,7,1,6,7,7,1,3,20,4,44,14,8,11
163,1,7,7,1,5,7,1,4,7,1,6,7,1,3,7,3,7,1,43,14,4,20,8,12
164,1,6,7,1,4,7,1,7,4,1,2,7,1,3,7,7,1,4,34,11,6,4,35,10
165,1,4,7,1,6,7,7,1,2,1,3,7,1,5,7,3,1,7,56,6,3,5,17,12
166,1,6,7,1,3,7,1,7,4,1,5,7,1,5,7,1,7,5,27,14,6,6,32,15
167,1,6,7,1,7,7,1,4,7,1,6,7,1,1,7,1,3,7,47,3,16,21,2,11
168,1,6,7,1,1,7,1,7,7,1,2,7,1,3,7,5,7,1,42,6,17,8,13,15
169,1,5,7,1,6,7,7,3,1,1,2,7,1,7,7,4,7,1,56,6,21,7,0,10
170,1,4,7,1,6,7,2,7,1,1,6,7,1,2,7,7,3,1,15,17,14,21,20,12
171,1,6,7,1,1,7,7,6,1,1,7,7,1,3,7,4,7,1,19,12,11,36,13,9
172,1,7,7,1,3,7,1,6,7,1,5,7,1,2,7,3,7,1,32,12,11,8,26,11
173,1,7,7,1,7,7,4,7,1,1,5,7,1,1,7,5,1,7,49,16,11,7,6,11
174,1,7,7,1,1,7,7,1,1,1,5,7,1,6,7,4,1,7,46,3,2,16,22,11
175,1,4,7,1,1,7,7,5,1,1,4,7,1,5,7,1,7,3,34,9,21,6,15,15
176,1,6,7,1,2,7,5,7,1,1,5,7,1,5,7,3,7,1,11,8,7,43,23,9
177,1,5,7,1,5,7,1,7,7,1,4,7,1,3,7,4,1,7,18,6,3,56,3,14
178,1,7,7,1,7,7,7,1,7,1,5,7,1,4,7,7,5,1,1,6,5,18,54,15
179,1,7,7,1,3,7,1,7,7,1,4,7,1,5,7,7,3,1,8,43,6,4,28,11
180,1,7,7,1,4,7,7,5,1,1,5,7,1,7,7,4,1,7,44,4,24,5,12,11
181,1,7,7,1,1,7,4,7,1,1,6,7,1,4,7,7,3,1,17,2,50,9,7,15
182,1,4,7,1,4,7,7,7,1,1,6,7,1,2,7,7,1,4,7,26,22,24,6,16
183,1,5,7,1,2,7,7,3,1,1,4,7,1,5,7,1,4,7,39,10,8,17,12,15
184,1,7,7,1,3,7,4,7,1,1,7,7,1,2,7,7,3,1,16,13,13,7,39,12
185,1,7,7,1,6,7,1,5,7,1,4,7,1,4,7,7,1,4,24,15,15,18,14,15
186,1,5,7,1,3,7,1,1,7,1,5,7,1,3,7,1,7,4,20,6,5,8,50,11
187,1,6,7,1,6,7,2,1,7,1,4,7,1,5,7,4,7,1,40,8,7,19,17,10
188,1,6,7,1,1,7,4,7,1,1,7,7,1,7,7,1,4,7,57,5,11,5,5,17
189,1,4,7,1,5,7,1,7,7,1,4,7,1,4,7,4,1,7,54,5,3,3,19,16
190,1,5,7,1,1,7,1,5,7,1,5,7,1,1,7,1,7,5,46,11,12,12,4,16
191,1,6,7,1,3,7,3,7,1,1,6,7,1,3,7,7,1,5,16,16,14,28,12,13
192,1,6,7,1,6,7,7,1,7,1,4,7,1,2,7,1,4,7,40,9,7,4,27,14
193,1,5,7,1,4,7,1,7,7,1,7,7,1,6,7,7,1,5,27,7,23,10,17,16
194,1,6,7,1,6,7,7,7,1,1,6,7,1,4,7,7,4,1,8,25,28,9,21,10
195,1,4,7,1,4,7,1,1,7,1,4,7,1,4,7,1,4,7,20,4,5,56,3,12
196,1,6,7,1,3,7,1,7,1,1,5,7,1,5,7,3,1,7,17,12,5,42,7,16
197,1,5,7,1,5,7,1,7,1,1,5,7,1,5,7,7,1,5,13,10,4,22,38,13
198,1,4,7,1,5,7,7,4,1,1,5,7,1,6,7,7,1,3,9,7,11,24,36,13
199,1,1,7,1,4,7,7,7,1,1,1,7,1,4,7,7,5,1,3,29,42,3,10,14
200,1,1,7,1,6,7,7,1,1,1,7,7,1,5,7,7,1,4,12,38,12,16,7,16
201,1,4,7,1,4,7,1,1,7,1,4,7,1,4,7,1,4,7,54,8,3,19,3,14
202,1,7,7,1,1,7,1,7,7,1,5,7,1,4,7,7,4,1,26,4,36,14,9,11
203,1,6,7,1,2,7,1,7,6,1,6,7,1,4,7,7,3,1,6,3,7,16,53,15
204,1,7,7,1,6,7,1,5,7,1,7,7,1,4,7,5,7,1,48,9,4,1,28,10
205,1,4,7,1,7,7,7,4,1,1,7,7,1,7,7,7,4,1,15,6,62,0,6,10
206,1,4,7,1,3,7,7,1,2,1,3,7,1,6,7,7,1,4,15,20,12,20,23,9
207,1,7,7,1,6,7,3,7,1,1,5,7,1,5,7,1,5,7,44,5,8,18,11,14
208,1,4,7,1,4,7,1,7,4,1,7,7,1,4,7,3,1,7,51,9,10,4,10,16
209,1,6,7,1,4,7,1,7,5,1,6,7,1,5,7,4,7,1,13,10,15,38,7,16
210,1,6,7,1,6,7,1,7,1,1,6,7,1,4,7,3,1,7,47,5,1,5,29,14
211,1,6,7,1,5,7,7,6,1,1,3,7,1,3,7,1,7,3,33,9,18,7,18,16
212,1,6,7,1,6,7,4,7,1,1,7,7,1,3,7,7,3,1,10,15,48,5,8,13
213,1,1,7,1,6,7,1,7,1,1,1,7,1,5,7,7,3,1,0,47,6,6,30,11
214,1,6,7,1,4,7,1,4,7,1,2,7,1,4,7,7,1,5,22,2,31,13,20,11
215,1,5,7,1,6,7,1,4,7,1,6,7,1,4,7,7,5,1,10,2,17,3,53,14
216,1,6,7,1,7,7,5,7,1,1,5,7,1,7,7,1,7,4,38,12,21,6,8,15
217,1,7,7,1,3,7,7,3,1,1,6,7,1,4,7,1,7,3,21,6,7,37,16,12
218,1,6,7,1,4,7,5,7,1,1,5,7,1,1,7,7,1,3,15,14,8,30,20,13
219,1,5,7,1,5,7,1,7,7,1,6,7,1,2,7,1,3,7,52,6,1,21,10,10
220,1,1,7,1,1,7,1,3,7,1,4,7,1,3,7,7,3,1,5,5,50,9,20,11
221,1,6,7,1,7,7,1,4,7,1,7,7,1,4,7,1,4,7,48,0,9,4,26,12
222,1,7,7,1,5,7,4,1,7,1,5,7,1,7,7,3,7,1,28,28,6,20,5,12
223,1,6,7,1,3,7,1,7,5,1,6,7,1,3,7,1,3,7,46,4,4,21,11,13
224,1,7,7,1,1,7,7,7,1,1,4,7,1,7,7,5,7,1,51,9,18,6,3,13
225,1,6,7,1,1,7,6,7,1,1,7,7,1,1,7,1,7,3,25,7,7,30,21,11
226,1,7,7,1,7,7,1,4,7,1,4,7,1,1,7,1,5,7,46,1,9,29,3,12
227,1,5,7,1,6,7,4,7,1,1,6,7,1,7,7,1,7,3,23,16,12,26,9,14
228,1,6,7,1,4,7,7,5,1,1,5,7,1,3,7,1,7,3,20,21,9,22,14,14
229,1,6,7,1,2,7,1,1,7,1,5,7,1,1,7,1,5,7,46,5,6,26,6,11
230,1,6,7,1,1,7,1,3,7,1,6,7,1,1,7,4,1,7,47,15,14,10,3,11
231,1,5,7,1,3,7,1,4,7,1,6,7,1,3,7,1,7,3,27,14,12,22,10,14
232,1,4,7,1,6,7,7,6,1,1,6,7,1,6,7,7,4,1,5,13,48,11,13,10
233,1,5,7,1,4,7,7,5,1,1,6,7,1,4,7,7,1,4,5,3,14,47,16,14
234,1,6,7,1,2,7,1,7,6,1,7,7,1,1,7,7,1,3,17,7,8,46,12,12
235,1,4,7,1,6,7,1,7,2,1,3,7,1,3,7,1,3,7,52,4,4,18,7,15
236,1,3,7,1,7,7,7,1,1,1,7,7,1,1,7,3,7,1,13,13,3,53,3,15
237,1,7,7,1,4,7,1,1,7,1,5,7,1,3,7,3,1,7,39,0,5,31,13,12
238,1,5,7,1,5,7,1,7,6,1,6,7,1,5,7,7,4,1,10,11,28,14,25,11
239,1,7,7,1,4,7,1,7,1,1,7,7,1,1,7,1,7,5,10,14,5,51,8,11
240,1,6,7,1,5,7,7,6,1,1,3,7,1,7,7,1,7,3,40,12,7,8,19,13
241,1,6,7,1,6,7,7,7,1,1,7,7,1,4,7,7,1,4,23,2,27,21,13,13
242,1,6,7,1,3,7,1,7,1,1,6,7,1,3,7,1,7,5,24,9,6,32,16,14
243,1,4,7,1,5,7,7,4,1,1,4,7,1,5,7,7,1,3,12,13,23,20,22,10
244,1,4,7,1,4,7,1,7,7,1,4,7,1,2,7,1,4,7,55,7,0,18,4,17
245,1,6,7,1,2,7,5,7,1,1,6,7,1,3,7,3,1,7,21,6,11,44,3,14
246,1,5,7,1,6,7,7,2,1,1,6,7,1,3,7,5,7,1,39,24,3,9,12,13
247,1,6,7,1,6,7,7,7,1,1,5,7,1,7,7,1,4,7,47,6,0,31,0,15
248,1,6,7,1,6,7,4,7,1,1,4,7,1,4,7,1,7,4,5,4,21,53,6,12
249,1,6,7,1,4,7,3,7,1,1,6,7,1,6,7,5,1,7,23,7,11,37,7,16
250,1,7,7,1,3,7,4,1,7,1,6,7,1,3,7,5,1,7,44,14,6,16,6,14
251,1,7,7,1,3,7,4,7,1,1,4,7,1,7,7,3,1,7,15,14,19,38,5,10
252,1,4,7,1,2,7,5,7,1,1,4,7,1,2,7,5,1,7,25,10,10,38,1,15
253,1,7,7,1,1,7,7,7,1,1,6,7,1,4,7,4,1,7,43,11,4,23,8,11
254,1,5,7,1,3,7,3,7,1,1,6,7,1,7,7,7,1,3,14,14,19,39,0,14
255,1,6,7,1,6,7,1,7,7,1,1,7,1,7,7,7,5,1,23,14,5,2,42,14
256,1,7,7,1,1,7,4,7,1,1,6,7,1,5,7,7,1,4,5,5,10,34,34,12
257,1,6,7,1,2,7,7,5,1,1,6,7,1,4,7,7,1,5,10,16,19,15,30,11
258,1,7,7,1,4,7,1,1,7,1,6,7,1,7,7,7,3,1,3,16,3,16,48,14
259,1,7,7,1,3,7,1,7,1,1,7,7,1,3,7,3,1,7,44,15,5,5,15,17
260,1,6,7,1,3,7,1,1,7,1,4,7,1,1,7,7,1,5,35,13,7,24,6,14
261,1,6,7,1,3,7,7,7,1,1,5,7,1,6,7,4,1,7,42,8,14,17,7,12
262,1,6,7,1,1,7,1,5,7,1,7,7,1,7,7,3,1,7,46,1,26,7,6,15
263,1,6,7,1,4,7,1,7,6,1,7,7,1,7,7,7,4,1,2,6,28,27,20,16
264,1,2,7,1,5,7,1,7,2,1,6,7,1,1,7,1,7,3,16,30,13,18,13,11
265,1,4,7,1,3,7,6,1,7,1,6,7,1,1,7,1,4,7,51,6,2,19,9,13
266,1,6,7,1,5,7,1,7,7,1,3,7,1,7,7,1,7,5,39,6,0,9,30,15
267,1,3,7,1,5,7,5,1,7,1,4,7,1,4,7,5,7,1,33,10,4,17,22,13
268,1,7,7,1,3,7,1,2,7,1,5,7,1,5,7,4,1,7,46,5,9,16,8,16
269,1,7,7,1,3,7,1,7,5,1,5,7,1,3,7,1,7,4,36,10,22,8,8,15
270,1,5,7,1,6,7,1,1,7,1,4,7,1,3,7,3,7,1,24,3,10,7,41,15
271,1,6,7,1,4,7,1,7,2,1,7,7,1,5,7,1,5,7,47,4,10,15,10,14
272,1,7,7,1,4,7,1,6,7,1,4,7,1,4,7,1,7,3,40,4,18,20,9,10
273,1,5,7,1,1,7,5,7,1,1,4,7,1,3,7,3,7,1,47,8,12,15,4,14
274,1,5,7,1,2,7,1,7,7,1,5,7,1,5,7,1,7,4,16,7,4,38,19,17
275,1,3,7,1,7,7,7,1,1,1,6,7,1,4,7,1,5,7,54,10,2,15,5,15
